Nom,Type,SIREN,INSEE,SISPEA,UGE,service,Communes,Pop,Pop_service,Mode,Statut_x,operateur,Date,Statut.1,D102.0,P103.2B,Verif_P103.2B,CalculAuto_P103.2B,P104.3,Verif_P104.3,CalculAuto_P104.3,P105.3,Verif_P105.3,CalculAuto_P105.3,P106.3,Verif_P106.3,CalculAuto_P106.3,P107.2,Verif_P107.2,CalculAuto_P107.2,Code Postal,Commune,Département,Région,Statut_y,Altitude Moyenne,Superficie,Population,geo_point_2d,geo_shape,ID Geofla,Code Commune,Code Canton,Code Arrondissement,Code Département,Code Région
Belley,Commune,210100343.0,01034,182283,0010011,eau potable : Territoire n°1,1,9354.0,9354.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,49",106.0,Sans anomalie apparente,1.0,75.3,Sans anomalie apparente,1.0,8.7,Sans anomalie apparente,1.0,8.3,Sans anomalie apparente,1.0,0.66,Sans anomalie apparente,1.0,01300,BELLEY,AIN,RHONE-ALPES,Sous-préfecture,278.0,2258.0,8.7,"45.7494697806, 5.68412365526","{""type"": ""Polygon"", ""coordinates"": [[[5.676794428325822, 45.70863255332204], [5.668474605722613, 45.71184826894392], [5.659659317011267, 45.7285809976112], [5.65639346945457, 45.76021095279123], [5.658939446154962, 45.7740623849291], [5.662520504745205, 45.77650071622132], [5.690830649724469, 45.77085534976277], [5.708023254692048, 45.77672397275207], [5.708750977873724, 45.76373182489478], [5.730323669305093, 45.75637280246948], [5.724488209862971, 45.74844978165465], [5.721819318300902, 45.74573909404314], [5.708235389550524, 45.74533640697199], [5.697854065123688, 45.734610972056295], [5.69357224112279, 45.736515399312715], [5.686029907237578, 45.732496680622624], [5.676794428325822, 45.70863255332204]]]}",24606,34,4,1,01,82
Briord,Commune,210100640.0,01064,182324,0010015,eau potable,1,987.0,987.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,05",81.0,Sans anomalie apparente,1.0,73.9,Sans anomalie apparente,1.0,3.7,Sans anomalie apparente,1.0,2.9,Sans anomalie apparente,1.0,0.0,Sans anomalie apparente,1.0,01470,BRIORD,AIN,RHONE-ALPES,Commune simple,290.0,1238.0,0.9,"45.7708330939, 5.48537461884","{""type"": ""Polygon"", ""coordinates"": [[[5.498151899379578, 45.74438502004081], [5.483998440483957, 45.75328364399996], [5.460402727790377, 45.77830615294614], [5.447078322484536, 45.78619074113177], [5.460297269331794, 45.78981328907719], [5.473556908917778, 45.786541306678394], [5.480399835791795, 45.79152640491923], [5.492300590260313, 45.782128658768904], [5.519936448134414, 45.780775980437504], [5.517750270640049, 45.77970761690654], [5.507972255510114, 45.778745181281984], [5.505036303299353, 45.77590036918615], [5.503448436250865, 45.76898935758208], [5.509437792902774, 45.75942338231466], [5.504968969220195, 45.749432190027434], [5.498151899379578, 45.74438502004081]]]}",35253,64,18,1,01,82
Cerdon,Commune,210100681.0,01068,182331,0010174,eau potable,1,776.0,776.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"3,64",106.0,Sans anomalie apparente,1.0,74.8,Sans anomalie apparente,1.0,21.9,Sans anomalie apparente,1.0,7.8,Sans anomalie apparente,1.0,0.0,Sans anomalie apparente,1.0,01450,CERDON,AIN,RHONE-ALPES,Commune simple,552.0,1211.0,0.8,"46.0720202633, 5.47577586118","{""type"": ""Polygon"", ""coordinates"": [[[5.487958182696128, 46.0524701868607], [5.467070471686457, 46.06191792374806], [5.457589769720433, 46.06117782261062], [5.450840532714175, 46.07031512631632], [5.442852890111541, 46.07436142127446], [5.443300319380646, 46.078018533790335], [5.475058810505123, 46.09704238004364], [5.481480404635423, 46.07780230920461], [5.490617800703517, 46.07917867842007], [5.505972755210506, 46.07096622939993], [5.507696580266213, 46.060522213009556], [5.49191939054398, 46.053932805478766], [5.487958182696128, 46.0524701868607]]]}",11259,68,24,4,01,82
Chalamont,Commune,210100749.0,01074,182335,0010137,eau potable,1,2442.0,2442.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,84",103.0,Sans anomalie apparente,1.0,54.6,Sans anomalie apparente,1.0,11.0,Sans anomalie apparente,1.0,10.6,Sans anomalie apparente,1.0,0.05,Sans anomalie apparente,1.0,01320,CHALAMONT,AIN,RHONE-ALPES,Chef-lieu canton,292.0,3296.0,2.3,"46.0076491739, 5.16936568","{""type"": ""Polygon"", ""coordinates"": [[[5.156858304504969, 45.979843973646325], [5.14786066452087, 45.98800532691937], [5.134010741079306, 45.99142903529122], [5.124679543959678, 46.01117024377307], [5.12460048962433, 46.024855150918874], [5.131533607568987, 46.019896563933706], [5.135905176805177, 46.021588866062004], [5.143768943576904, 46.030259436142785], [5.161159483946297, 46.03673041658575], [5.165477211239793, 46.0501334361412], [5.174349681526222, 46.0533327405558], [5.182656921061047, 46.050092272689824], [5.180168326392814, 46.02975426508816], [5.187331107457236, 46.01377052158869], [5.19961287801037, 46.00339828346455], [5.223269253006296, 46.00499940816501], [5.221404754661132, 45.997883246643745], [5.217315061347804, 45.99198175216694], [5.219621505860628, 45.985720720092836], [5.215159728739416, 45.98467301794841], [5.191918397042411, 45.97963915077002], [5.156858304504969, 45.979843973646325]]]}",5206,74,8,2,01,82
Château-Gaillard,Commune,210100897.0,01089,182354,0010019,eau potable,1,2057.0,2057.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,98",71.0,Sans anomalie apparente,1.0,86.2,Sans anomalie apparente,1.0,3.6,Sans anomalie apparente,1.0,3.1,Sans anomalie apparente,1.0,2.5,Sans anomalie apparente,1.0,01500,CHATEAU-GAILLARD,AIN,RHONE-ALPES,Commune simple,234.0,1608.0,1.8,"45.9730390239, 5.30754273532","{""type"": ""Polygon"", ""coordinates"": [[[5.291770334451991, 45.94816759286143], [5.284147611246411, 45.96023120569945], [5.292052301021622, 45.968593663861704], [5.281297843274229, 45.979053770311005], [5.286964739795333, 45.9870022417158], [5.290713631210276, 45.993547875811146], [5.299048594758521, 45.996910414567076], [5.321644884309607, 45.99144059272092], [5.337615969823886, 45.98404910573226], [5.33065840754396, 45.97447197283294], [5.327335447177312, 45.95669381885147], [5.308884663647317, 45.951621406069215], [5.301307476171049, 45.94801008149336], [5.291770334451991, 45.94816759286143]]]}",15841,89,1,1,01,82
Contrevoz,Commune,210101168.0,01116,182386,0010025,eau potable,1,523.0,523.0,Délégation,Entreprise privée,,31/07/2018,Confirmé / publié,"2,16",84.0,Sans anomalie apparente,1.0,67.9,Sans anomalie apparente,1.0,2.5,Sans anomalie apparente,1.0,2.5,Sans anomalie apparente,1.0,0.0,Sans anomalie apparente,1.0,01300,CONTREVOZ,AIN,RHONE-ALPES,Commune simple,472.0,1427.0,0.5,"45.8009403071, 5.62087768159","{""type"": ""Polygon"", ""coordinates"": [[[5.646596859161628, 45.77174878174035], [5.638383959251323, 45.780401508353165], [5.614765020061227, 45.79285341924511], [5.60482456998966, 45.79318243869721], [5.592636322194484, 45.79913027870246], [5.589070763118586, 45.80550094058106], [5.578019395542181, 45.81215981747494], [5.58521657856618, 45.8205814885307], [5.590092411159483, 45.82123555822052], [5.609983478465845, 45.811587427388865], [5.628324018304462, 45.81686511553575], [5.640487513893829, 45.8163199658132], [5.642583669349554, 45.80762136119066], [5.654039465993469, 45.78462936473999], [5.646596859161628, 45.77174878174035]]]}",6381,116,36,1,01,82
Cormaranche-en-Bugey,Commune,210101226.0,01122,182395,0010089,eau potable,1,867.0,433.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,9",95.0,Sans anomalie apparente,1.0,62.2,Sans anomalie apparente,1.0,4.2,Sans anomalie apparente,1.0,3.8,Sans anomalie apparente,1.0,0.0,Sans anomalie apparente,1.0,01110,CORMARANCHE-EN-BUGEY,AIN,RHONE-ALPES,Commune simple,926.0,1897.0,0.9,"45.9442772826, 5.60860828487","{""type"": ""Polygon"", ""coordinates"": [[[5.615136084330151, 45.9140904699261], [5.606549779680183, 45.91485632572899], [5.599775485172503, 45.92284178963691], [5.586268828097081, 45.924430830759064], [5.578402502279483, 45.95192792934561], [5.595981620729692, 45.96451815031574], [5.624916687545305, 45.969283791490206], [5.634980840946266, 45.96844630123829], [5.635322231648916, 45.96019425489356], [5.634061380430063, 45.942753332659144], [5.615136084330151, 45.9140904699261]]]}",15988,122,15,1,01,82
Géovreisset,Commune,210101713.0,01171,182771,0010120,eau potable,1,955.0,477.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,77",39.0,Sans anomalie apparente,1.0,89.8,Sans anomalie apparente,1.0,1.3,Sans anomalie apparente,1.0,1.3,Sans anomalie apparente,1.0,1.64,Sans anomalie apparente,1.0,01100,GEOVREISSET,AIN,RHONE-ALPES,Commune simple,669.0,327.0,0.9,"46.2508621615, 5.61271973915","{""type"": ""Polygon"", ""coordinates"": [[[5.599468194242841, 46.239434157474456], [5.596508610857012, 46.241096460261936], [5.604186320785139, 46.25537251662225], [5.624230393412545, 46.2627505196289], [5.628721340835972, 46.26267390418096], [5.629870699110522, 46.256854059221084], [5.619272089431287, 46.249800611906515], [5.613541107877186, 46.24047217767908], [5.599468194242841, 46.239434157474456]]]}",28807,171,41,4,01,82
Haut Valromey,Commune,200053676.0,01187,182446,0010092,eau potable (HOTONNES),1,733.0,146.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,77",95.0,Sans anomalie apparente,1.0,84.9,Sans anomalie apparente,1.0,4.4,Sans anomalie apparente,1.0,3.9,Sans anomalie apparente,1.0,0.0,Sans anomalie apparente,1.0,01260,HOTONNES,AIN,RHONE-ALPES,Commune simple,1036.0,2862.0,0.3,"46.0317412192, 5.70267027388","{""type"": ""Polygon"", ""coordinates"": [[[5.679493533116, 45.98888146767818], [5.670035480869476, 46.01612608400614], [5.677295884592261, 46.02101841518667], [5.695214690604415, 46.0538590994589], [5.700850100624056, 46.07820563122474], [5.714845787141185, 46.09287350974357], [5.72076147928449, 46.07765765079577], [5.726311918455637, 46.067928425568354], [5.720901408002861, 46.026638211237895], [5.720832819257886, 46.02551357500174], [5.72064716168057, 45.997973643968585], [5.704096953009171, 45.990567173553465], [5.679493533116, 45.98888146767818]]]}",15722,187,6,4,01,82
Haut Valromey,Commune,200053676.0,01187,182777,0010095,eau potable (LE GRAND-ABERGEMENT),1,733.0,146.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,77",30.0,Sans anomalie apparente,1.0,66.3,Sans anomalie apparente,1.0,6.2,Sans anomalie apparente,1.0,5.8,Sans anomalie apparente,1.0,0.0,Sans anomalie apparente,1.0,01260,HOTONNES,AIN,RHONE-ALPES,Commune simple,1036.0,2862.0,0.3,"46.0317412192, 5.70267027388","{""type"": ""Polygon"", ""coordinates"": [[[5.679493533116, 45.98888146767818], [5.670035480869476, 46.01612608400614], [5.677295884592261, 46.02101841518667], [5.695214690604415, 46.0538590994589], [5.700850100624056, 46.07820563122474], [5.714845787141185, 46.09287350974357], [5.72076147928449, 46.07765765079577], [5.726311918455637, 46.067928425568354], [5.720901408002861, 46.026638211237895], [5.720832819257886, 46.02551357500174], [5.72064716168057, 45.997973643968585], [5.704096953009171, 45.990567173553465], [5.679493533116, 45.98888146767818]]]}",15722,187,6,4,01,82
Haut Valromey,Commune,200053676.0,01187,182550,0010096,eau potable (LE PETIT-ABERGEMENT),1,733.0,146.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,77",115.0,Sans anomalie apparente,1.0,39.5,Sans anomalie apparente,1.0,8.5,Sans anomalie apparente,1.0,6.6,Sans anomalie apparente,1.0,0.0,Sans anomalie apparente,1.0,01260,HOTONNES,AIN,RHONE-ALPES,Commune simple,1036.0,2862.0,0.3,"46.0317412192, 5.70267027388","{""type"": ""Polygon"", ""coordinates"": [[[5.679493533116, 45.98888146767818], [5.670035480869476, 46.01612608400614], [5.677295884592261, 46.02101841518667], [5.695214690604415, 46.0538590994589], [5.700850100624056, 46.07820563122474], [5.714845787141185, 46.09287350974357], [5.72076147928449, 46.07765765079577], [5.726311918455637, 46.067928425568354], [5.720901408002861, 46.026638211237895], [5.720832819257886, 46.02551357500174], [5.72064716168057, 45.997973643968585], [5.704096953009171, 45.990567173553465], [5.679493533116, 45.98888146767818]]]}",15722,187,6,4,01,82
Haut Valromey,Commune,200053676.0,01187,182664,0010101,eau potable (SONGIEU),1,733.0,146.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,77",10.0,Sans anomalie apparente,1.0,61.8,Sans anomalie apparente,1.0,3.3,Sans anomalie apparente,1.0,2.8,Sans anomalie apparente,1.0,0.0,Sans anomalie apparente,1.0,01260,HOTONNES,AIN,RHONE-ALPES,Commune simple,1036.0,2862.0,0.3,"46.0317412192, 5.70267027388","{""type"": ""Polygon"", ""coordinates"": [[[5.679493533116, 45.98888146767818], [5.670035480869476, 46.01612608400614], [5.677295884592261, 46.02101841518667], [5.695214690604415, 46.0538590994589], [5.700850100624056, 46.07820563122474], [5.714845787141185, 46.09287350974357], [5.72076147928449, 46.07765765079577], [5.726311918455637, 46.067928425568354], [5.720901408002861, 46.026638211237895], [5.720832819257886, 46.02551357500174], [5.72064716168057, 45.997973643968585], [5.704096953009171, 45.990567173553465], [5.679493533116, 45.98888146767818]]]}",15722,187,6,4,01,82
Hauteville-Lompnes,Commune,210101853.0,01185,182443,0010032,eau potable,1,3952.0,1976.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,35",115.0,Sans anomalie apparente,1.0,72.7,Sans anomalie apparente,1.0,4.9,Sans anomalie apparente,1.0,3.7,Sans anomalie apparente,1.0,0.14,Sans anomalie apparente,1.0,01110,HAUTEVILLE-LOMPNES,AIN,RHONE-ALPES,Chef-lieu canton,872.0,5067.0,4.1,"45.9696520061, 5.57627261783","{""type"": ""Polygon"", ""coordinates"": [[[5.5544779150335, 45.917062620849315], [5.550549108781091, 45.922259752969836], [5.534562490569423, 45.92608781340021], [5.53836965571523, 45.93446243761959], [5.540595273262623, 45.951359517552234], [5.557594963071962, 45.956679693804624], [5.561238180043855, 45.96307525253795], [5.551658138222758, 45.96459802417083], [5.539857611158928, 45.959448666663945], [5.52208042646892, 45.96448610781119], [5.522572938683132, 45.98284555011419], [5.550593550726121, 45.99599353232103], [5.554532380895512, 46.005932483479114], [5.607410257583328, 46.00177241511064], [5.630176807519433, 46.007706138738975], [5.63948805250478, 45.98429792904443], [5.634980840946266, 45.96844630123829], [5.624916687545305, 45.969283791490206], [5.595981620729692, 45.96451815031574], [5.578402502279483, 45.95192792934561], [5.586268828097081, 45.924430830759064], [5.578126534654771, 45.917345865511514], [5.5544779150335, 45.917062620849315]]]}",13639,185,15,1,01,82
Innimond,Commune,210101903.0,01190,182450,0010033,eau potable,1,119.0,119.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,27",120.0,Sans anomalie apparente,1.0,75.5,Sans anomalie apparente,1.0,3.2,Sans anomalie apparente,1.0,2.7,Sans anomalie apparente,1.0,0.5,Sans anomalie apparente,1.0,01680,INNIMOND,AIN,RHONE-ALPES,Commune simple,958.0,1325.0,0.1,"45.7919647191, 5.57389398559","{""type"": ""Polygon"", ""coordinates"": [[[5.590633722613163, 45.76001992817223], [5.584292206712877, 45.76258904296401], [5.559174042789252, 45.78306408714629], [5.550470708083687, 45.79899193575623], [5.550696840269682, 45.80834780313044], [5.556781307778436, 45.81315642513033], [5.575628171065446, 45.81641292578647], [5.578019395542181, 45.81215981747494], [5.589070763118586, 45.80550094058106], [5.592636322194484, 45.79913027870246], [5.590633722613163, 45.76001992817223]]]}",17825,190,18,1,01,82
Journans,Commune,210101978.0,01197,182459,0010143,eau potable,1,369.0,369.0,Régie,Régie à autonomie financière,,,Vérifié,,,,,75.7,Sans anomalie apparente,1.0,3.6,Sans anomalie apparente,1.0,3.6,Sans anomalie apparente,1.0,,,,01250,JOURNANS,AIN,RHONE-ALPES,Commune simple,356.0,241.0,0.3,"46.1464982407, 5.33452833151","{""type"": ""Polygon"", ""coordinates"": [[[5.333625574039329, 46.137705079720895], [5.31831338292816, 46.152558848192776], [5.34564171885669, 46.15111491021761], [5.347474308508438, 46.147896926329935], [5.342984638727623, 46.14171047610721], [5.334866723593142, 46.137940821899605], [5.333625574039329, 46.137705079720895]]]}",20814,197,25,2,01,82
