Nom,Type,SIREN,INSEE,SISPEA,UGE,service,Communes,Pop,Pop_service,Mode,Statut,operateur,Date,Statut,D102.0,P103.2B,Verif_P103.2B,CalculAuto_P103.2B,P104.3,Verif_P104.3,CalculAuto_P104.3,P105.3,Verif_P105.3,CalculAuto_P105.3,P106.3,Verif_P106.3,CalculAuto_P106.3,P107.2,Verif_P107.2,CalculAuto_P107.2
ABERGEMENT-DE-VAREY,Commune,210100020,01002,182248,0010034,eau potable,1,241,241,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Ambléon,Commune,210100061,01006,182252,0010005,eau potable,1,115,115,Délégation,Entreprise privée,,31/10/2023,En attente de saisie,,,,,,,,,,,,,,,,
Anglefort,Commune,210100103,01010,182257,0010006,eau potable,1,1160,1160,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Arandas,Commune,210100137,01013,182259,0010007,eau potable,1,162,162,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Arbent,Commune,210100145,01014,182765,0010121,eau potable,1,3533,1766,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Arboys en Bugey,Commune,200053668,01015,218324,,eau potable : ARBOYS (ARBIGNIEU),1,650,325,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Argis,Commune,210100178,01017,182264,0010009,eau potable,1,439,439,Délégation,Entreprise privée,,31/07/2022,En attente de saisie,,,,,,,,,,,,,,,,
Armix,Commune,210100194,01019,182266,0010010,eau potable,1,23,23,Régie,Régie à autonomie financière,,,En cours de saisie,,,,,,,,,,,,,,,,
Artemare,Commune,210100228,01022,182269,0010082,eau potable,1,1214,1214,Régie,Régie à autonomie financière,,,Vérifié,,,,,,,,,,,,,,,,
BURBANCHE,Commune,210100665,01066,182327,0010035,eau potable,1,71,71,Régie,Régie à autonomie financière,,,En cours de saisie,,,,,,,,,,,,,,,,
Balan,Commune,210100277,01027,182274,0010131,eau potable,1,3082,1541,Délégation,Entreprise privée,,31/12/2023,En attente de saisie,,,,,,,,,,,,,,,,
Bellegarde-sur-Valserine,Commune,210100335,01033,182281,0010170,eau potable,1,12052,6026,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Belley,Commune,210100343,01034,182283,0010011,eau potable : Territoire n°1,1,9354,9354,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,49",106,Sans anomalie apparente,1,75.3,Sans anomalie apparente,1,8.7,Sans anomalie apparente,1,8.3,Sans anomalie apparente,1,0.66,Sans anomalie apparente,1
Belleydoux,Commune,210100350,01035,205801,0010112,eau potable :,1,330,165,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Bellignat,Commune,210100319,01031,182770,0010122,eau potable,1,3862,1931,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Billiat,Commune,210100442,01044,182295,0010171,eau potable,1,605,605,Régie,Entreprise privée,,24/02/2018,En attente de saisie,,,,,,,,,,,,,,,,
Blyes,Commune,210100475,01047,182299,0010083,eau potable,1,998,998,Régie,Régie à autonomie financière,,,Vérifié,"1,49",103,Sans anomalie apparente,1,,,,9,Sans anomalie apparente,1,6.2,Sans anomalie apparente,1,1.11,Sans anomalie apparente,1
Bolozon,Commune,210100517,01051,182303,0010106,eau potable : distribution,1,92,46,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Bourg-en-Bresse,Commune,210100533,01053,182306,0010159,eau potable,3,50368,50368,Régie,Régie à autonomie financière,,,En cours de saisie,,,,,,,,,,,,,,,,
Boyeux-Saint-Jérôme,Commune,210100566,01056,182310,0010169,eau potable,1,383,383,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Brens,Commune,210100616,01061,182318,0010085,eau potable,1,1214,1214,Délégation,Entreprise privée,,31/12/2023,En cours de saisie,,,,,,,,,,,,,,,,
Bressolles,Commune,210100624,01062,182320,0010133,eau potable,1,857,428,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Brion,Commune,210100632,01063,182322,0010172,eau potable : distribution,1,521,260,Régie,Régie à autonomie financière,,,En cours de saisie,,,,,,,,,,,,,,,,
Briord,Commune,210100640,01064,182324,0010015,eau potable,1,987,987,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,05",81,Sans anomalie apparente,1,73.9,Sans anomalie apparente,1,3.7,Sans anomalie apparente,1,2.9,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Brégnier-Cordon,Commune,210100582,01058,182313,0010222,eau potable,1,884,442,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Brénaz,Commune,210100590,01059,182314,0010014,eau potable,1,97,48,Régie,Régie à autonomie financière,,,En cours de saisie,,,,,,,,,,,,,,,,
Brénod,Commune,210100608,01060,182316,0010084,eau potable,1,563,187,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Béligneux,Commune,210100327,01032,182279,0010125,eau potable,1,3384,3384,Délégation,Entreprise privée,,31/03/2024,En cours de saisie,,,,,,,,,,,,,,,,
Bénonces,Commune,210100376,01037,182288,0010012,eau potable,1,286,286,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Béon,Commune,210100392,01039,182291,0010013,eau potable,1,481,481,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
CHALLES,Commune,210100772,01077,182340,0010175,eau potable,1,187,187,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
CHARNOZ,Commune,210100889,01088,182352,0010124,eau potable,1,959,959,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
COMMUNAUTE DE COMMUNES DU PAYS DE GEX,Communauté de communes,240100750,,182719,0010247,eau potable,27,89938,89702,Délégation,Entreprise privée,,31/12/2017,En attente de saisie,,,,,,,,,,,,,,,,
COMMUNAUTÉ DE COMMUNES DE LA COTIERE A MONTLUEL (3CM),Communauté de communes,240100610,,182803,0010130,eau potable,7,19883,8750,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
CONDAMINE-LA-DOYE,Commune,210101127,01112,182764,0010213,eau potable,1,454,227,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Ceignes,Commune,210100673,01067,182329,0010173,eau potable : distribution,1,274,137,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Cerdon,Commune,210100681,01068,182331,0010174,eau potable,1,776,776,Régie,Régie à autonomie financière,,,Confirmé / publié,"3,64",106,Sans anomalie apparente,1,74.8,Sans anomalie apparente,1,21.9,Sans anomalie apparente,1,7.8,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Ceyzérieu,Commune,210100731,01073,182333,0010016,eau potable,1,1043,1043,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Chalamont,Commune,210100749,01074,182335,0010137,eau potable,1,2442,2442,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,84",103,Sans anomalie apparente,1,54.6,Sans anomalie apparente,1,11,Sans anomalie apparente,1,10.6,Sans anomalie apparente,1,0.05,Sans anomalie apparente,1
Chaley,Commune,210100764,01076,182338,0010017,eau potable,1,154,154,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Champdor-Corcelles,Commune,200056695,01080,182343,0010086,eau potable : (CHAMPDOR-CORCELLES),1,688,344,Régie,Régie à autonomie financière,,,En cours de saisie,,,,,,,,,,,,,,,,
Champfromier,Commune,210100814,01081,182345,0010176,eau potable,1,745,745,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Chanay,Commune,210100822,01082,182347,0010018,eau potable,1,656,656,Régie,Régie à autonomie financière,,,En cours de saisie,,,,,,,,,,,,,,,,
Chazey-Bons,Commune,200063121,01098,182367,0010021,eau potable (CHAZEY-BONS (avant 2017)),1,1029,514,Délégation,Entreprise privée,,30/09/2022,En attente de saisie,,,,,,,,,,,,,,,,
Chazey-sur-Ain,Commune,210100996,01099,182369,0010020,eau potable,1,1564,1564,Délégation,Entreprise privée,,30/09/2022,En attente de saisie,,,,,,,,,,,,,,,,
Chevillard,Commune,210101010,01101,182372,0010087,eau potable,1,167,55,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Château-Gaillard,Commune,210100897,01089,182354,0010019,eau potable,1,2057,2057,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,98",71,Sans anomalie apparente,1,86.2,Sans anomalie apparente,1,3.6,Sans anomalie apparente,1,3.1,Sans anomalie apparente,1,2.5,Sans anomalie apparente,1
Châtillon-en-Michaille,Commune,210100913,01091,182357,0010254,eau potable,1,3379,1689,,,,,En attente de saisie,,,,,,,,,,,,,,,,
Châtillon-la-Palud,Commune,210100921,01092,182359,0010138,eau potable,1,1644,1644,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Châtillon-sur-Chalaronne,Commune,210100939,01093,182361,0010164,eau potable,1,5164,5164,Délégation,Entreprise privée,,31/03/2019,En attente de saisie,,,,,,,,,,,,,,,,
Cize,Commune,210101069,01106,182375,0010236,eau potable,1,180,180,Délégation,Entreprise privée,,30/06/2021,En attente de saisie,,,,,,,,,,,,,,,,
Cleyzieu,Commune,210101077,01107,182376,0010022,eau potable,1,142,142,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Colomieu,Commune,210101101,01110,182379,0010023,eau potable,1,131,131,Régie,Régie à autonomie financière,,,En cours de saisie,,,,,,,,,,,,,,,,
Communauté de communes Haut-Bugey (CCHB),Communauté de communes,200042935,,216834,,eau potable : Ancienne CCMB,8,5542,2860,Régie,Entreprise privée,,,Confirmé / publié,,72,Sans anomalie apparente,1,100,Sans anomalie apparente,1,0,Sans anomalie apparente,1,0,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Communauté de communes Haut-Bugey (CCHB),Communauté de communes,200042935,,216835,,eau potable : Beard Port Brion,3,2439,1218,Régie,Régie à autonomie financière,,,Confirmé / publié,,90,Sans anomalie apparente,1,100,Sans anomalie apparente,1,0,Sans anomalie apparente,1,0,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Communauté de communes Haut-Bugey (CCHB),Communauté de communes,200042935,,216837,0010189,eau potable : Les Neyrolles,1,651,325,Régie,Entreprise privée,,,Confirmé / publié,,85,Sans anomalie apparente,1,100,Sans anomalie apparente,1,0,Sans anomalie apparente,1,0,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Communauté de communes Haut-Bugey (CCHB),Communauté de communes,200042935,,216836,0010195,eau potable : Nantua,1,3696,1848,Délégation,Entreprise privée,,31/12/2019,Confirmé / publié,,90,Sans anomalie apparente,1,100,Sans anomalie apparente,1,0,Sans anomalie apparente,1,0,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Communauté de communes Haut-Bugey (CCHB),Communauté de communes,200042935,,216839,0010207,eau potable : ancien sivom lac sylans,3,1410,704,Délégation,Entreprise privée,,,Confirmé / publié,,75,Sans anomalie apparente,1,100,Sans anomalie apparente,1,0,Sans anomalie apparente,1,0,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Communauté de communes Haut-Bugey (CCHB),Communauté de communes,200042935,,182748,0010117,eau potable : ancienne cco,10,40787,20391,Délégation,Entreprise privée,,31/08/2028,Confirmé / publié,,90,Sans anomalie apparente,1,97,Sans anomalie apparente,1,3.9,Sans anomalie apparente,1,3.9,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Communauté de communes Haut-Bugey (CCHB),Communauté de communes,200042935,,216840,,eau potable : secteur sie valromey,6,2138,710,Régie,Régie à autonomie financière,,,Confirmé / publié,,74,Sans anomalie apparente,1,100,Sans anomalie apparente,1,0,Sans anomalie apparente,1,0,Sans anomalie apparente,1,0,Sans anomalie apparente,1
